Абазинский,abq
Раджастхани,raj
Разных семей языки,mul
Раротонга,rar
Ретороманский,roh
Руанда,kin
Румынский,ron
Рунди,run
Русский,rus
Саамский,smi
Самаритянский арамейский,sam
Самоанский,smo
Санго,sag
Сандаве,sad
Санскрит,san
Сапотекский,zap
Сардинский,srd
Свази,ssw
Себуано,ceb
Селькупский,sel
Сербский,srp
Серер,srr
Сибирскотатарский,sty
Сидама,sid
Сиксика,bla
Сингальский,sin
Синдхи,snd
Сирийский,syr
Словацкий,slk
Словенский,slv
Согдийский,sog
Сомали,som
Сото северный,nso
Сото южный,sot
Среднеанглийский,enm
Средневерхненемецкий,gmh
Среднеирландский,mga
Среднефранцузский,frm
Староанглийский,ang
Староверхненемецкий,goh
Староирландский,sga
Старонорвежский,non
Староперсидский,peo
Старопровансальский,pro
Старотурецкий,ota
Старофранцузский,fro
Суахили,swa
Сукума,suk
Сунданский,sun
Сусу,sus
Табасаранский,tab
Тагальский,tgl
Таджикский,tgk
Таитянский,tah
Тайский,tha
Талышский,tly
Тамашек,tmh
Тамильский,tam
Татарский,tat
Тви,twi
Телугу,tel
Темне,tem
Терено,ter
Тибетский,bod
Тиви,tiw
Тигре,tig
Тигринья,tir
Тлингит,tli
Тонга (Ньяса),tog
Тонганский,ton
Трукский,chk
Тсвана,tsn
Тсонга,tso
Тувинский,tyv
Тумбука,tum
Турецкий,tur
Туркменский,tuk
Угаритский,uga
Удмуртский (вотяцкий),udm
Удэгейский,ude
Узбекский,uzb
Уйгурский,uig
Украинский,ukr
Ульчский,ulc
Умбунду,umb
Урду,urd
Фанг,fan
Фанти,fat
Фарерский,fao
Фиджи,fij
Филиппинский,fil
Финикийский,phn
Финский (Suomi),fin
Фон,fon
Французский,fra
Фризский,fry
Фулах,ful
Хайда,hai
Хакасский,kjh
Хантыйский (остяцкий),kca
Хауса,hau
Хилигайнон,hil
Хинди,hin
Хиримоту,hmo
Хорватский,hrv
Хотанский,kho
Хупа,hup
Цахурский,tkr
Церковнославянский (Старославянский),chu
Цимшиан,tsi
Цыганский,rom
Чагатайский,chg
Чаморро,cha
Чероки,chr
Чеченский,che
Чешский,ces
Чжуанский,zha
Чибча,chb
Чинук жаргон,chn
Чоктав,cho
Чувашский,chv
Чукотский,ckt
Шайенн (Чейенн),chy
Шанский,shn
Шведский,swe
Шона,sna
Шорский,cjs
Шотландский (англо-шотландский),sco
Шугнанский,sgh
Шумерский,sux
Эве,ewe
Эвенкийский (тунгусский),evn
Эвенский,eve
Эвондо,ewo
Экаджук,eka
Эламский,elx
Эрзянский,myv
Эсперанто,epo
Эстонский,est
Эфик,efi
Яванский,jav
Якутский (Саха),sah
Яо,yao
Яп,yap
Японский,jpn
